Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
Monroe County,000089,04,42,4204000089,PA,2019,03,01,"January, 2019",1,83000,78600,4400,5.30,,,20190301,03201901,46,No,0
Montgomery County,000091,04,42,4204000091,PA,2019,03,01,"January, 2019",1,455800,439700,16000,3.50,,,20190301,03201901,47,No,0
Montour County,000093,04,42,4204000093,PA,2019,03,01,"January, 2019",1,9200,8800,300,3.70,,,20190301,03201901,48,No,0
Northampton County,000095,04,42,4204000095,PA,2019,03,01,"January, 2019",1,161400,154200,7300,4.50,,,20190301,03201901,49,No,0
Northumberland County,000097,04,42,4204000097,PA,2019,03,01,"January, 2019",1,43500,41000,2500,5.60,,,20190301,03201901,50,No,0
Perry County,000099,04,42,4204000099,PA,2019,03,01,"January, 2019",1,24400,23500,900,3.60,,,20190301,03201901,51,No,0
Philadelphia County,000101,04,42,4204000101,PA,2019,03,01,"January, 2019",1,720500,678600,42000,5.80,,,20190301,03201901,52,No,0
Pike County,000103,04,42,4204000103,PA,2019,03,01,"January, 2019",1,25200,23800,1400,5.60,,,20190301,03201901,53,No,0
Potter County,000105,04,42,4204000105,PA,2019,03,01,"January, 2019",1,7200,6700,400,6.00,,,20190301,03201901,54,No,0
Schuylkill County,000107,04,42,4204000107,PA,2019,03,01,"January, 2019",1,66200,62600,3600,5.40,,,20190301,03201901,55,No,0
Snyder County,000109,04,42,4204000109,PA,2019,03,01,"January, 2019",1,20200,19300,900,4.30,,,20190301,03201901,56,No,0
Somerset County,000111,04,42,4204000111,PA,2019,03,01,"January, 2019",1,33500,31800,1700,5.00,,,20190301,03201901,57,No,0
Sullivan County,000113,04,42,4204000113,PA,2019,03,01,"January, 2019",1,2700,2500,100,5.20,,,20190301,03201901,58,No,0
Susquehanna County,000115,04,42,4204000115,PA,2019,03,01,"January, 2019",1,20500,19600,900,4.20,,,20190301,03201901,59,No,0
Tioga County,000117,04,42,4204000117,PA,2019,03,01,"January, 2019",1,18900,17900,1000,5.40,,,20190301,03201901,60,No,0
Union County,000119,04,42,4204000119,PA,2019,03,01,"January, 2019",1,20100,19300,800,3.80,,,20190301,03201901,61,No,0
Venango County,000121,04,42,4204000121,PA,2019,03,01,"January, 2019",1,22500,21500,1000,4.70,,,20190301,03201901,62,No,0
Warren County,000123,04,42,4204000123,PA,2019,03,01,"January, 2019",1,19100,18200,900,4.80,,,20190301,03201901,63,No,0
Washington County,000125,04,42,4204000125,PA,2019,03,01,"January, 2019",1,106900,102300,4700,4.40,,,20190301,03201901,64,No,0
Wayne County,000127,04,42,4204000127,PA,2019,03,01,"January, 2019",1,22400,21400,1100,4.70,,,20190301,03201901,65,No,0
Westmoreland County,000129,04,42,4204000129,PA,2019,03,01,"January, 2019",1,180700,172800,8000,4.40,,,20190301,03201901,66,No,0
Wyoming County,000131,04,42,4204000131,PA,2019,03,01,"January, 2019",1,13500,12900,700,4.90,,,20190301,03201901,67,No,0
York County,000133,04,42,4204000133,PA,2019,03,01,"January, 2019",1,235900,226900,9000,3.80,,,20190301,03201901,68,No,0
Berks County WDA,000001,15,42,4215000001,PA,2019,03,01,"January, 2019",1,214600,205600,9000,4.20,,,20190301,03201901,69,No,0
Bucks County WDA,000002,15,42,4215000002,PA,2019,03,01,"January, 2019",1,344000,330800,13200,3.80,,,20190301,03201901,70,No,0
Central WDA,000003,15,42,4215000003,PA,2019,03,01,"January, 2019",1,302800,289400,13400,4.40,,,20190301,03201901,71,No,0
Chester County WDA,000004,15,42,4215000004,PA,2019,03,01,"January, 2019",1,286400,277200,9200,3.20,,,20190301,03201901,72,No,0
Delaware County WDA,000005,15,42,4215000005,PA,2019,03,01,"January, 2019",1,299100,286700,12300,4.10,,,20190301,03201901,73,No,0
Lackawanna County WDA,000006,15,42,4215000006,PA,2019,03,01,"January, 2019",1,104900,99700,5200,5.00,,,20190301,03201901,74,No,0
Lancaster County WDA,000007,15,42,4215000007,PA,2019,03,01,"January, 2019",1,284100,274500,9600,3.40,,,20190301,03201901,75,No,0
Lehigh Valley WDA,000008,15,42,4215000008,PA,2019,03,01,"January, 2019",1,354500,338400,16100,4.50,,,20190301,03201901,76,No,0
Luzerne-Schuylkill Counties WDA,000009,15,42,4215000009,PA,2019,03,01,"January, 2019",1,224100,211400,12700,5.70,,,20190301,03201901,77,No,0
Montgomery County WDA,000010,15,42,4215000010,PA,2019,03,01,"January, 2019",1,455800,439700,16000,3.50,,,20190301,03201901,78,No,0
North Central WDA,000011,15,42,4215000011,PA,2019,03,01,"January, 2019",1,83100,79000,4200,5.00,,,20190301,03201901,79,No,0
Northern Tier WDA,000012,15,42,4215000012,PA,2019,03,01,"January, 2019",1,84600,80600,3900,4.70,,,20190301,03201901,80,No,0
Northwest WDA,000013,15,42,4215000013,PA,2019,03,01,"January, 2019",1,228600,217800,10700,4.70,,,20190301,03201901,81,No,0
Philadelphia County WDA,000014,15,42,4215000014,PA,2019,03,01,"January, 2019",1,720500,678600,42000,5.80,,,20190301,03201901,82,No,0
Pocono Counties WDA,000015,15,42,4215000015,PA,2019,03,01,"January, 2019",1,162700,154000,8700,5.40,,,20190301,03201901,83,No,0
South Central WDA,000016,15,42,4215000016,PA,2019,03,01,"January, 2019",1,752600,724500,28000,3.70,,,20190301,03201901,84,No,0
Southern Alleghenies WDA,000017,15,42,4215000017,PA,2019,03,01,"January, 2019",1,202300,192500,9800,4.90,,,20190301,03201901,85,No,0
Southwest Corner WDA,000018,15,42,4215000018,PA,2019,03,01,"January, 2019",1,207500,198200,9300,4.50,,,20190301,03201901,86,No,0
Three Rivers WDA,000019,15,42,4215000019,PA,2019,03,01,"January, 2019",1,649000,622500,26600,4.10,,,20190301,03201901,87,No,0
Tri-County WDA,000020,15,42,4215000020,PA,2019,03,01,"January, 2019",1,170800,163500,7300,4.30,,,20190301,03201901,88,No,0
West Central WDA,000021,15,42,4215000021,PA,2019,03,01,"January, 2019",1,90500,86100,4400,4.80,,,20190301,03201901,89,No,0
Westmoreland and Fayette Counties WDA,000022,15,42,4215000022,PA,2019,03,01,"January, 2019",1,237600,226300,11400,4.80,,,20190301,03201901,90,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",010900,31,42,4231010900,PA,2019,03,01,"January, 2019",1,441300,421900,19400,4.40,,,20190301,03201901,91,No,0
"Altoona, PA MSA",011020,31,42,4231011020,PA,2019,03,01,"January, 2019",1,59300,56800,2500,4.10,,,20190301,03201901,92,No,0
"Bloomsburg-Berwick, PA MSA",014100,31,42,4231014100,PA,2019,03,01,"January, 2019",1,42500,40600,1900,4.40,,,20190301,03201901,93,No,0
"Chambersburg-Waynesboro, PA MSA",016540,31,42,4231016540,PA,2019,03,01,"January, 2019",1,77500,74600,2800,3.70,,,20190301,03201901,94,No,0
"East Stroudsburg, PA MSA",020700,31,42,4231020700,PA,2019,03,01,"January, 2019",1,83000,78600,4400,5.30,,,20190301,03201901,95,No,0
"Erie, PA MSA",021500,31,42,4231021500,PA,2019,03,01,"January, 2019",1,129500,123500,5900,4.60,,,20190301,03201901,96,No,0
"Gettysburg, PA MSA",023900,31,42,4231023900,PA,2019,03,01,"January, 2019",1,55200,53400,1800,3.30,,,20190301,03201901,97,No,0
"Harrisburg-Carlisle, PA MSA",025420,31,42,4231025420,PA,2019,03,01,"January, 2019",1,300600,289800,10800,3.60,,,20190301,03201901,98,No,0
"Johnstown, PA MSA",027780,31,42,4231027780,PA,2019,03,01,"January, 2019",1,58000,55000,3000,5.10,,,20190301,03201901,99,No,0
"Lancaster, PA MSA",029540,31,42,4231029540,PA,2019,03,01,"January, 2019",1,284100,274500,9600,3.40,,,20190301,03201901,100,No,0
"Lebanon, PA MSA",030140,31,42,4231030140,PA,2019,03,01,"January, 2019",1,71800,69000,2800,3.90,,,20190301,03201901,101,No,0
"Montgomery-Bucks-Chester, PA Metro Division",033874,31,42,4231033874,PA,2019,03,01,"January, 2019",1,1084700,1046700,38000,3.50,,,20190301,03201901,102,No,0
"Philadelphia, PA Metro Division",037964,31,42,4231037964,PA,2019,03,01,"January, 2019",1,1016400,964900,51500,5.10,,,20190301,03201901,103,No,0
"Philadelphia, PA MSA - PA Part",037965,31,42,4231037965,PA,2019,03,01,"January, 2019",1,2107000,2014900,92200,4.40,,,20190301,03201901,104,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",037980,31,42,4231037980,PA,2019,03,01,"January, 2019",1,3113000,2986300,126600,4.10,,,20190301,03201901,105,No,0
"Pittsburgh, PA MSA",038300,31,42,4231038300,PA,2019,03,01,"January, 2019",1,1210700,1159200,51500,4.30,,,20190301,03201901,106,No,0
"Reading, PA MSA",039740,31,42,4231039740,PA,2019,03,01,"January, 2019",1,214600,205600,9000,4.20,,,20190301,03201901,107,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",042540,31,42,4231042540,PA,2019,03,01,"January, 2019",1,276200,261700,14500,5.20,,,20190301,03201901,108,No,0
"State College, PA MSA",044300,31,42,4231044300,PA,2019,03,01,"January, 2019",1,80300,77600,2600,3.30,,,20190301,03201901,109,No,0
"Williamsport, PA MSA",048700,31,42,4231048700,PA,2019,03,01,"January, 2019",1,57200,54400,2800,4.80,,,20190301,03201901,110,No,0
"York-Hanover, PA MSA",049620,31,42,4231049620,PA,2019,03,01,"January, 2019",1,235900,226900,9000,3.80,,,20190301,03201901,111,No,0
United States,000000,00,00,0000000000,US,2019,03,02,"February, 2019",1,163032000,156904000,6128000,3.80,63.1,60.7,20190302,03201902,112,No,0
Pennsylvania,000000,01,42,4201000000,PA,2019,03,02,"February, 2019",1,6472000,6193000,279000,4.30,63.0,60.3,20190302,03201902,113,No,0
Adams County,000001,04,42,4204000001,PA,2019,03,02,"February, 2019",1,55200,53400,1800,3.20,,,20190302,03201902,114,No,0
Allegheny County,000003,04,42,4204000003,PA,2019,03,02,"February, 2019",1,648600,622400,26200,4.00,,,20190302,03201902,115,No,0
Armstrong County,000005,04,42,4204000005,PA,2019,03,02,"February, 2019",1,32000,30500,1500,4.80,,,20190302,03201902,116,No,0
Beaver County,000007,04,42,4204000007,PA,2019,03,02,"February, 2019",1,83900,80200,3700,4.40,,,20190302,03201902,117,No,0
Bedford County,000009,04,42,4204000009,PA,2019,03,02,"February, 2019",1,23400,22300,1100,4.70,,,20190302,03201902,118,No,0
Berks County,000011,04,42,4204000011,PA,2019,03,02,"February, 2019",1,214800,205800,9000,4.20,,,20190302,03201902,119,No,0
Blair County,000013,04,42,4204000013,PA,2019,03,02,"February, 2019",1,59300,56900,2500,4.10,,,20190302,03201902,120,No,0
Bradford County,000015,04,42,4204000015,PA,2019,03,02,"February, 2019",1,28800,27600,1200,4.20,,,20190302,03201902,121,No,0
Bucks County,000017,04,42,4204000017,PA,2019,03,02,"February, 2019",1,343700,330600,13000,3.80,,,20190302,03201902,122,No,0
Butler County,000019,04,42,4204000019,PA,2019,03,02,"February, 2019",1,99900,96100,3700,3.70,,,20190302,03201902,123,No,0
Cambria County,000021,04,42,4204000021,PA,2019,03,02,"February, 2019",1,58000,55000,2900,5.10,,,20190302,03201902,124,No,0
Cameron County,000023,04,42,4204000023,PA,2019,03,02,"February, 2019",1,2100,2000,100,5.40,,,20190302,03201902,125,No,0
Carbon County,000025,04,42,4204000025,PA,2019,03,02,"February, 2019",1,32100,30400,1700,5.20,,,20190302,03201902,126,No,0
Centre County,000027,04,42,4204000027,PA,2019,03,02,"February, 2019",1,80200,77600,2600,3.30,,,20190302,03201902,127,No,0
Chester County,000029,04,42,4204000029,PA,2019,03,02,"February, 2019",1,286100,277000,9100,3.20,,,20190302,03201902,128,No,0
Clarion County,000031,04,42,4204000031,PA,2019,03,02,"February, 2019",1,17100,16200,800,4.90,,,20190302,03201902,129,No,0
Clearfield County,000033,04,42,4204000033,PA,2019,03,02,"February, 2019",1,35800,34000,1800,5.00,,,20190302,03201902,130,No,0
Clinton County,000035,04,42,4204000035,PA,2019,03,02,"February, 2019",1,18400,17400,1000,5.50,,,20190302,03201902,131,No,0
Columbia County,000037,04,42,4204000037,PA,2019,03,02,"February, 2019",1,33400,31800,1600,4.70,,,20190302,03201902,132,No,0
Crawford County,000039,04,42,4204000039,PA,2019,03,02,"February, 2019",1,38600,36800,1800,4.60,,,20190302,03201902,133,No,0
Cumberland County,000041,04,42,4204000041,PA,2019,03,02,"February, 2019",1,132200,127900,4400,3.30,,,20190302,03201902,134,No,0
Dauphin County,000043,04,42,4204000043,PA,2019,03,02,"February, 2019",1,144000,138400,5600,3.90,,,20190302,03201902,135,No,0
Delaware County,000045,04,42,4204000045,PA,2019,03,02,"February, 2019",1,298900,286900,11900,4.00,,,20190302,03201902,136,No,0
Elk County,000047,04,42,4204000047,PA,2019,03,02,"February, 2019",1,15800,15100,600,3.90,,,20190302,03201902,137,No,0
Erie County,000049,04,42,4204000049,PA,2019,03,02,"February, 2019",1,129300,123500,5800,4.50,,,20190302,03201902,138,No,0
Fayette County,000051,04,42,4204000051,PA,2019,03,02,"February, 2019",1,56900,53500,3400,6.00,,,20190302,03201902,139,No,0
Forest County,000053,04,42,4204000053,PA,2019,03,02,"February, 2019",1,1800,1700,100,6.70,,,20190302,03201902,140,No,0
Franklin County,000055,04,42,4204000055,PA,2019,03,02,"February, 2019",1,77400,74500,2800,3.70,,,20190302,03201902,141,No,0
Fulton County,000057,04,42,4204000057,PA,2019,03,02,"February, 2019",1,7800,7500,300,4.10,,,20190302,03201902,142,No,0
Greene County,000059,04,42,4204000059,PA,2019,03,02,"February, 2019",1,16600,15800,800,4.80,,,20190302,03201902,143,No,0
Huntingdon County,000061,04,42,4204000061,PA,2019,03,02,"February, 2019",1,19800,18700,1100,5.60,,,20190302,03201902,144,No,0
Indiana County,000063,04,42,4204000063,PA,2019,03,02,"February, 2019",1,38900,37100,1900,4.80,,,20190302,03201902,145,No,0
Jefferson County,000065,04,42,4204000065,PA,2019,03,02,"February, 2019",1,20600,19700,900,4.50,,,20190302,03201902,146,No,0
Juniata County,000067,04,42,4204000067,PA,2019,03,02,"February, 2019",1,12500,11900,600,4.50,,,20190302,03201902,147,No,0
Lackawanna County,000069,04,42,4204000069,PA,2019,03,02,"February, 2019",1,104800,99700,5100,4.80,,,20190302,03201902,148,No,0
Lancaster County,000071,04,42,4204000071,PA,2019,03,02,"February, 2019",1,283800,274200,9600,3.40,,,20190302,03201902,149,No,0
Lawrence County,000073,04,42,4204000073,PA,2019,03,02,"February, 2019",1,40800,38700,2000,5.00,,,20190302,03201902,150,No,0
Lebanon County,000075,04,42,4204000075,PA,2019,03,02,"February, 2019",1,71800,69000,2800,3.80,,,20190302,03201902,151,No,0
Lehigh County,000077,04,42,4204000077,PA,2019,03,02,"February, 2019",1,193000,184400,8700,4.50,,,20190302,03201902,152,No,0
Luzerne County,000079,04,42,4204000079,PA,2019,03,02,"February, 2019",1,157700,148800,8900,5.60,,,20190302,03201902,153,No,0
Lycoming County,000081,04,42,4204000081,PA,2019,03,02,"February, 2019",1,57100,54300,2700,4.80,,,20190302,03201902,154,No,0
McKean County,000083,04,42,4204000083,PA,2019,03,02,"February, 2019",1,17200,16400,800,4.90,,,20190302,03201902,155,No,0
Mercer County,000085,04,42,4204000085,PA,2019,03,02,"February, 2019",1,49300,47000,2300,4.70,,,20190302,03201902,156,No,0
Mifflin County,000087,04,42,4204000087,PA,2019,03,02,"February, 2019",1,20900,19900,900,4.50,,,20190302,03201902,157,No,0
Monroe County,000089,04,42,4204000089,PA,2019,03,02,"February, 2019",1,83100,78800,4400,5.30,,,20190302,03201902,158,No,0
Montgomery County,000091,04,42,4204000091,PA,2019,03,02,"February, 2019",1,455700,439800,15800,3.50,,,20190302,03201902,159,No,0
Montour County,000093,04,42,4204000093,PA,2019,03,02,"February, 2019",1,9100,8800,300,3.60,,,20190302,03201902,160,No,0
Northampton County,000095,04,42,4204000095,PA,2019,03,02,"February, 2019",1,161400,154200,7200,4.40,,,20190302,03201902,161,No,0
Northumberland County,000097,04,42,4204000097,PA,2019,03,02,"February, 2019",1,43300,40900,2400,5.60,,,20190302,03201902,162,No,0
Perry County,000099,04,42,4204000099,PA,2019,03,02,"February, 2019",1,24400,23500,900,3.70,,,20190302,03201902,163,No,0
Philadelphia County,000101,04,42,4204000101,PA,2019,03,02,"February, 2019",1,718800,679400,39300,5.50,,,20190302,03201902,164,No,0
Pike County,000103,04,42,4204000103,PA,2019,03,02,"February, 2019",1,25200,23800,1400,5.50,,,20190302,03201902,165,No,0
Potter County,000105,04,42,4204000105,PA,2019,03,02,"February, 2019",1,7200,6700,400,5.70,,,20190302,03201902,166,No,0
Schuylkill County,000107,04,42,4204000107,PA,2019,03,02,"February, 2019",1,66300,62700,3600,5.40,,,20190302,03201902,167,No,0
Snyder County,000109,04,42,4204000109,PA,2019,03,02,"February, 2019",1,20100,19300,900,4.30,,,20190302,03201902,168,No,0
Somerset County,000111,04,42,4204000111,PA,2019,03,02,"February, 2019",1,33500,31800,1700,5.10,,,20190302,03201902,169,No,0
Sullivan County,000113,04,42,4204000113,PA,2019,03,02,"February, 2019",1,2700,2500,100,4.50,,,20190302,03201902,170,No,0
Susquehanna County,000115,04,42,4204000115,PA,2019,03,02,"February, 2019",1,20400,19500,900,4.30,,,20190302,03201902,171,No,0
Tioga County,000117,04,42,4204000117,PA,2019,03,02,"February, 2019",1,18800,17800,1000,5.30,,,20190302,03201902,172,No,0
Union County,000119,04,42,4204000119,PA,2019,03,02,"February, 2019",1,19900,19100,700,3.70,,,20190302,03201902,173,No,0
Venango County,000121,04,42,4204000121,PA,2019,03,02,"February, 2019",1,22500,21500,1100,4.70,,,20190302,03201902,174,No,0
Warren County,000123,04,42,4204000123,PA,2019,03,02,"February, 2019",1,19000,18100,900,4.70,,,20190302,03201902,175,No,0
Washington County,000125,04,42,4204000125,PA,2019,03,02,"February, 2019",1,106900,102200,4700,4.40,,,20190302,03201902,176,No,0
Wayne County,000127,04,42,4204000127,PA,2019,03,02,"February, 2019",1,22400,21400,1000,4.60,,,20190302,03201902,177,No,0
Westmoreland County,000129,04,42,4204000129,PA,2019,03,02,"February, 2019",1,180700,172700,8000,4.40,,,20190302,03201902,178,No,0
Wyoming County,000131,04,42,4204000131,PA,2019,03,02,"February, 2019",1,13500,12900,600,4.80,,,20190302,03201902,179,No,0
York County,000133,04,42,4204000133,PA,2019,03,02,"February, 2019",1,235600,226700,9000,3.80,,,20190302,03201902,180,No,0
Berks County WDA,000001,15,42,4215000001,PA,2019,03,02,"February, 2019",1,214800,205800,9000,4.20,,,20190302,03201902,181,No,0
Bucks County WDA,000002,15,42,4215000002,PA,2019,03,02,"February, 2019",1,343700,330600,13000,3.80,,,20190302,03201902,182,No,0
Central WDA,000003,15,42,4215000003,PA,2019,03,02,"February, 2019",1,301400,288200,13200,4.40,,,20190302,03201902,183,No,0
Chester County WDA,000004,15,42,4215000004,PA,2019,03,02,"February, 2019",1,286100,277000,9100,3.20,,,20190302,03201902,184,No,0
Delaware County WDA,000005,15,42,4215000005,PA,2019,03,02,"February, 2019",1,298900,286900,11900,4.00,,,20190302,03201902,185,No,0
Lackawanna County WDA,000006,15,42,4215000006,PA,2019,03,02,"February, 2019",1,104800,99700,5100,4.80,,,20190302,03201902,186,No,0
Lancaster County WDA,000007,15,42,4215000007,PA,2019,03,02,"February, 2019",1,283800,274200,9600,3.40,,,20190302,03201902,187,No,0
Lehigh Valley WDA,000008,15,42,4215000008,PA,2019,03,02,"February, 2019",1,354300,338600,15700,4.40,,,20190302,03201902,188,No,0
Luzerne-Schuylkill Counties WDA,000009,15,42,4215000009,PA,2019,03,02,"February, 2019",1,224100,211500,12600,5.60,,,20190302,03201902,189,No,0
Montgomery County WDA,000010,15,42,4215000010,PA,2019,03,02,"February, 2019",1,455700,439800,15800,3.50,,,20190302,03201902,190,No,0
North Central WDA,000011,15,42,4215000011,PA,2019,03,02,"February, 2019",1,82900,78800,4100,4.90,,,20190302,03201902,191,No,0
Northern Tier WDA,000012,15,42,4215000012,PA,2019,03,02,"February, 2019",1,84300,80400,3900,4.60,,,20190302,03201902,192,No,0
Northwest WDA,000013,15,42,4215000013,PA,2019,03,02,"February, 2019",1,228200,217700,10400,4.60,,,20190302,03201902,193,No,0
Philadelphia County WDA,000014,15,42,4215000014,PA,2019,03,02,"February, 2019",1,718800,679400,39300,5.50,,,20190302,03201902,194,No,0
Pocono Counties WDA,000015,15,42,4215000015,PA,2019,03,02,"February, 2019",1,162500,154000,8500,5.20,,,20190302,03201902,195,No,0
South Central WDA,000016,15,42,4215000016,PA,2019,03,02,"February, 2019",1,753400,725600,27800,3.70,,,20190302,03201902,196,No,0
Southern Alleghenies WDA,000017,15,42,4215000017,PA,2019,03,02,"February, 2019",1,202000,192200,9700,4.80,,,20190302,03201902,197,No,0
Southwest Corner WDA,000018,15,42,4215000018,PA,2019,03,02,"February, 2019",1,207400,198100,9300,4.50,,,20190302,03201902,198,No,0
Three Rivers WDA,000019,15,42,4215000019,PA,2019,03,02,"February, 2019",1,648600,622400,26200,4.00,,,20190302,03201902,199,No,0
Tri-County WDA,000020,15,42,4215000020,PA,2019,03,02,"February, 2019",1,170700,163500,7200,4.20,,,20190302,03201902,200,No,0
West Central WDA,000021,15,42,4215000021,PA,2019,03,02,"February, 2019",1,90100,85800,4400,4.80,,,20190302,03201902,201,No,0
