Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
Monroe County,89,4,42,4204000089,PA,2018,3,1,"January, 2018",1,81900,77100,4800,5.8,,,20180301,3201801,46,No,0
Montgomery County,91,4,42,4204000091,PA,2018,3,1,"January, 2018",1,446300,429600,16700,3.7,,,20180301,3201801,47,No,0
Montour County,93,4,42,4204000093,PA,2018,3,1,"January, 2018",1,9000,8700,300,3.8,,,20180301,3201801,48,No,0
Northampton County,95,4,42,4204000095,PA,2018,3,1,"January, 2018",1,158500,150800,7700,4.8,,,20180301,3201801,49,No,0
Northumberland County,97,4,42,4204000097,PA,2018,3,1,"January, 2018",1,42700,40300,2400,5.7,,,20180301,3201801,50,No,0
Perry County,99,4,42,4204000099,PA,2018,3,1,"January, 2018",1,24100,23000,1000,4.3,,,20180301,3201801,51,No,0
Philadelphia County,101,4,42,4204000101,PA,2018,3,1,"January, 2018",1,703400,660300,43100,6.1,,,20180301,3201801,52,No,0
Pike County,103,4,42,4204000103,PA,2018,3,1,"January, 2018",1,24900,23500,1500,5.9,,,20180301,3201801,53,No,0
Potter County,105,4,42,4204000105,PA,2018,3,1,"January, 2018",1,7200,6800,400,5.8,,,20180301,3201801,54,No,0
Schuylkill County,107,4,42,4204000107,PA,2018,3,1,"January, 2018",1,65600,61900,3700,5.7,,,20180301,3201801,55,No,0
Snyder County,109,4,42,4204000109,PA,2018,3,1,"January, 2018",1,20400,19500,900,4.2,,,20180301,3201801,56,No,0
Somerset County,111,4,42,4204000111,PA,2018,3,1,"January, 2018",1,33400,31500,1900,5.6,,,20180301,3201801,57,No,0
Sullivan County,113,4,42,4204000113,PA,2018,3,1,"January, 2018",1,2700,2500,100,5.3,,,20180301,3201801,58,No,0
Susquehanna County,115,4,42,4204000115,PA,2018,3,1,"January, 2018",1,20400,19400,900,4.6,,,20180301,3201801,59,No,0
Tioga County,117,4,42,4204000117,PA,2018,3,1,"January, 2018",1,18700,17600,1100,5.8,,,20180301,3201801,60,No,0
Union County,119,4,42,4204000119,PA,2018,3,1,"January, 2018",1,19100,18300,800,4.2,,,20180301,3201801,61,No,0
Venango County,121,4,42,4204000121,PA,2018,3,1,"January, 2018",1,22500,21200,1300,5.6,,,20180301,3201801,62,No,0
Warren County,123,4,42,4204000123,PA,2018,3,1,"January, 2018",1,19100,18200,1000,5,,,20180301,3201801,63,No,0
Washington County,125,4,42,4204000125,PA,2018,3,1,"January, 2018",1,105900,100700,5200,4.9,,,20180301,3201801,64,No,0
Wayne County,127,4,42,4204000127,PA,2018,3,1,"January, 2018",1,22300,21100,1200,5.2,,,20180301,3201801,65,No,0
Westmoreland County,129,4,42,4204000129,PA,2018,3,1,"January, 2018",1,179600,170700,9000,5,,,20180301,3201801,66,No,0
Wyoming County,131,4,42,4204000131,PA,2018,3,1,"January, 2018",1,13600,13000,700,5,,,20180301,3201801,67,No,0
York County,133,4,42,4204000133,PA,2018,3,1,"January, 2018",1,234000,224100,9900,4.2,,,20180301,3201801,68,No,0
Berks County WDA,1,15,42,4215000001,PA,2018,3,1,"January, 2018",1,211600,202200,9400,4.5,,,20180301,3201801,69,No,0
Bucks County WDA,2,15,42,4215000002,PA,2018,3,1,"January, 2018",1,338200,324200,14100,4.2,,,20180301,3201801,70,No,0
Central WDA,3,15,42,4215000003,PA,2018,3,1,"January, 2018",1,300300,286100,14100,4.7,,,20180301,3201801,71,No,0
Chester County WDA,4,15,42,4215000004,PA,2018,3,1,"January, 2018",1,279900,270100,9800,3.5,,,20180301,3201801,72,No,0
Delaware County WDA,5,15,42,4215000005,PA,2018,3,1,"January, 2018",1,293200,280300,12900,4.4,,,20180301,3201801,73,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2018,3,1,"January, 2018",1,105300,100100,5200,5,,,20180301,3201801,74,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2018,3,1,"January, 2018",1,278700,268400,10300,3.7,,,20180301,3201801,75,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2018,3,1,"January, 2018",1,347700,330800,16900,4.9,,,20180301,3201801,76,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2018,3,1,"January, 2018",1,223200,210500,12800,5.7,,,20180301,3201801,77,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2018,3,1,"January, 2018",1,446300,429600,16700,3.7,,,20180301,3201801,78,No,0
North Central WDA,11,15,42,4215000011,PA,2018,3,1,"January, 2018",1,83000,78500,4500,5.4,,,20180301,3201801,79,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2018,3,1,"January, 2018",1,84100,79900,4200,5,,,20180301,3201801,80,No,0
Northwest WDA,13,15,42,4215000013,PA,2018,3,1,"January, 2018",1,228600,216500,12100,5.3,,,20180301,3201801,81,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2018,3,1,"January, 2018",1,703400,660300,43100,6.1,,,20180301,3201801,82,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2018,3,1,"January, 2018",1,160500,151300,9100,5.7,,,20180301,3201801,83,No,0
South Central WDA,16,15,42,4215000016,PA,2018,3,1,"January, 2018",1,742600,711800,30800,4.1,,,20180301,3201801,84,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2018,3,1,"January, 2018",1,202000,191600,10400,5.2,,,20180301,3201801,85,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2018,3,1,"January, 2018",1,206100,195600,10500,5.1,,,20180301,3201801,86,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2018,3,1,"January, 2018",1,641700,613000,28600,4.5,,,20180301,3201801,87,No,0
Tri-County WDA,20,15,42,4215000020,PA,2018,3,1,"January, 2018",1,169600,161200,8300,4.9,,,20180301,3201801,88,No,0
West Central WDA,21,15,42,4215000021,PA,2018,3,1,"January, 2018",1,90500,85400,5100,5.6,,,20180301,3201801,89,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2018,3,1,"January, 2018",1,236500,223800,12700,5.4,,,20180301,3201801,90,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2018,3,1,"January, 2018",1,435400,414600,20800,4.8,,,20180301,3201801,91,No,0
"Altoona, PA MSA",11020,31,42,4231011020,PA,2018,3,1,"January, 2018",1,59500,56900,2600,4.3,,,20180301,3201801,92,No,0
"Bloomsburg-Berwick, PA MSA",14100,31,42,4231014100,PA,2018,3,1,"January, 2018",1,42400,40400,2100,4.9,,,20180301,3201801,93,No,0
"Chambersburg-Waynesboro, PA MSA",16540,31,42,4231016540,PA,2018,3,1,"January, 2018",1,76200,73000,3100,4.1,,,20180301,3201801,94,No,0
"East Stroudsburg, PA MSA",20700,31,42,4231020700,PA,2018,3,1,"January, 2018",1,81900,77100,4800,5.8,,,20180301,3201801,95,No,0
"Erie, PA MSA",21500,31,42,4231021500,PA,2018,3,1,"January, 2018",1,129400,122500,7000,5.4,,,20180301,3201801,96,No,0
"Gettysburg, PA MSA",23900,31,42,4231023900,PA,2018,3,1,"January, 2018",1,54900,53000,1900,3.6,,,20180301,3201801,97,No,0
"Harrisburg-Carlisle, PA MSA",25420,31,42,4231025420,PA,2018,3,1,"January, 2018",1,295800,283800,12000,4,,,20180301,3201801,98,No,0
"Johnstown, PA MSA",27780,31,42,4231027780,PA,2018,3,1,"January, 2018",1,58500,55200,3200,5.5,,,20180301,3201801,99,No,0
"Lancaster, PA MSA",29540,31,42,4231029540,PA,2018,3,1,"January, 2018",1,278700,268400,10300,3.7,,,20180301,3201801,100,No,0
"Lebanon, PA MSA",30140,31,42,4231030140,PA,2018,3,1,"January, 2018",1,70600,67700,2900,4.1,,,20180301,3201801,101,No,0
"Montgomery-Bucks-Chester, PA Metro Division",33874,31,42,4231033874,PA,2018,3,1,"January, 2018",1,1065400,1024800,40500,3.8,,,20180301,3201801,102,No,0
"Philadelphia, PA Metro Division",37964,31,42,4231037964,PA,2018,3,1,"January, 2018",1,999500,943100,56400,5.6,,,20180301,3201801,103,No,0
"Philadelphia, PA MSA - PA Part",37965,31,42,4231037965,PA,2018,3,1,"January, 2018",1,2061900,1965800,96100,4.7,,,20180301,3201801,104,No,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",37980,31,42,4231037980,PA,2018,3,1,"January, 2018",1,3075300,2933800,141500,4.6,,,20180301,3201801,105,No,0
"Pittsburgh, PA MSA",38300,31,42,4231038300,PA,2018,3,1,"January, 2018",1,1202300,1145000,57300,4.8,,,20180301,3201801,106,No,0
"Reading, PA MSA",39740,31,42,4231039740,PA,2018,3,1,"January, 2018",1,211600,202200,9400,4.5,,,20180301,3201801,107,No,0
"Scranton--Wilkes-Barre--Hazleton, PA MSA",42540,31,42,4231042540,PA,2018,3,1,"January, 2018",1,277100,262200,14900,5.4,,,20180301,3201801,108,No,0
"State College, PA MSA",44300,31,42,4231044300,PA,2018,3,1,"January, 2018",1,79400,76600,2800,3.5,,,20180301,3201801,109,No,0
"Williamsport, PA MSA",48700,31,42,4231048700,PA,2018,3,1,"January, 2018",1,57700,54600,3100,5.4,,,20180301,3201801,110,No,0
"York-Hanover, PA MSA",49620,31,42,4231049620,PA,2018,3,1,"January, 2018",1,234000,224100,9900,4.2,,,20180301,3201801,111,No,0
United States,0,0,0,0,US,2018,3,2,"February, 2018",1,161764000,155174000,6590000,4.1,63,60.4,20180302,3201802,112,No,0
Pennsylvania,0,1,42,4201000000,PA,2018,3,2,"February, 2018",1,6403000,6104000,299000,4.7,62.4,59.5,20180302,3201802,113,No,0
Adams County,1,4,42,4204000001,PA,2018,3,2,"February, 2018",1,54900,53000,1900,3.5,,,20180302,3201802,114,No,0
Allegheny County,3,4,42,4204000003,PA,2018,3,2,"February, 2018",1,643400,615000,28300,4.4,,,20180302,3201802,115,No,0
Armstrong County,5,4,42,4204000005,PA,2018,3,2,"February, 2018",1,32200,30300,1800,5.7,,,20180302,3201802,116,No,0
Beaver County,7,4,42,4204000007,PA,2018,3,2,"February, 2018",1,83800,79500,4300,5.1,,,20180302,3201802,117,No,0
Bedford County,9,4,42,4204000009,PA,2018,3,2,"February, 2018",1,23600,22500,1200,4.9,,,20180302,3201802,118,No,0
Berks County,11,4,42,4204000011,PA,2018,3,2,"February, 2018",1,211600,202400,9300,4.4,,,20180302,3201802,119,No,0
Blair County,13,4,42,4204000013,PA,2018,3,2,"February, 2018",1,59500,56900,2500,4.3,,,20180302,3201802,120,No,0
Bradford County,15,4,42,4204000015,PA,2018,3,2,"February, 2018",1,28900,27500,1400,4.8,,,20180302,3201802,121,No,0
Bucks County,17,4,42,4204000017,PA,2018,3,2,"February, 2018",1,338900,325000,14000,4.1,,,20180302,3201802,122,No,0
Butler County,19,4,42,4204000019,PA,2018,3,2,"February, 2018",1,99100,94800,4300,4.3,,,20180302,3201802,123,No,0
Cambria County,21,4,42,4204000021,PA,2018,3,2,"February, 2018",1,58400,55200,3200,5.4,,,20180302,3201802,124,No,0
Cameron County,23,4,42,4204000023,PA,2018,3,2,"February, 2018",1,2200,2000,100,6,,,20180302,3201802,125,No,0
Carbon County,25,4,42,4204000025,PA,2018,3,2,"February, 2018",1,31600,29900,1700,5.4,,,20180302,3201802,126,No,0
Centre County,27,4,42,4204000027,PA,2018,3,2,"February, 2018",1,79400,76600,2800,3.5,,,20180302,3201802,127,No,0
Chester County,29,4,42,4204000029,PA,2018,3,2,"February, 2018",1,281100,271300,9800,3.5,,,20180302,3201802,128,No,0
Clarion County,31,4,42,4204000031,PA,2018,3,2,"February, 2018",1,17600,16700,900,5.1,,,20180302,3201802,129,No,0
Clearfield County,33,4,42,4204000033,PA,2018,3,2,"February, 2018",1,35600,33600,1900,5.4,,,20180302,3201802,130,No,0
Clinton County,35,4,42,4204000035,PA,2018,3,2,"February, 2018",1,18300,17300,1100,5.7,,,20180302,3201802,131,No,0
Columbia County,37,4,42,4204000037,PA,2018,3,2,"February, 2018",1,33500,31700,1800,5.3,,,20180302,3201802,132,No,0
Crawford County,39,4,42,4204000039,PA,2018,3,2,"February, 2018",1,39000,36900,2100,5.3,,,20180302,3201802,133,No,0
Cumberland County,41,4,42,4204000041,PA,2018,3,2,"February, 2018",1,129800,124900,4800,3.7,,,20180302,3201802,134,No,0
Dauphin County,43,4,42,4204000043,PA,2018,3,2,"February, 2018",1,141800,135600,6200,4.4,,,20180302,3201802,135,No,0
Delaware County,45,4,42,4204000045,PA,2018,3,2,"February, 2018",1,295000,281800,13200,4.5,,,20180302,3201802,136,No,0
Elk County,47,4,42,4204000047,PA,2018,3,2,"February, 2018",1,15900,15200,700,4.2,,,20180302,3201802,137,No,0
Erie County,49,4,42,4204000049,PA,2018,3,2,"February, 2018",1,129300,122600,6800,5.2,,,20180302,3201802,138,No,0
Fayette County,51,4,42,4204000051,PA,2018,3,2,"February, 2018",1,56900,53300,3600,6.3,,,20180302,3201802,139,No,0
Forest County,53,4,42,4204000053,PA,2018,3,2,"February, 2018",1,1800,1700,100,6.5,,,20180302,3201802,140,No,0
Franklin County,55,4,42,4204000055,PA,2018,3,2,"February, 2018",1,76200,73200,3100,4.1,,,20180302,3201802,141,No,0
Fulton County,57,4,42,4204000057,PA,2018,3,2,"February, 2018",1,7700,7400,300,4.1,,,20180302,3201802,142,No,0
Greene County,59,4,42,4204000059,PA,2018,3,2,"February, 2018",1,16700,15800,900,5.3,,,20180302,3201802,143,No,0
Huntingdon County,61,4,42,4204000061,PA,2018,3,2,"February, 2018",1,19700,18500,1200,6,,,20180302,3201802,144,No,0
Indiana County,63,4,42,4204000063,PA,2018,3,2,"February, 2018",1,38900,36700,2200,5.6,,,20180302,3201802,145,No,0
Jefferson County,65,4,42,4204000065,PA,2018,3,2,"February, 2018",1,20400,19400,1000,5,,,20180302,3201802,146,No,0
Juniata County,67,4,42,4204000067,PA,2018,3,2,"February, 2018",1,12400,11900,500,4.2,,,20180302,3201802,147,No,0
Lackawanna County,69,4,42,4204000069,PA,2018,3,2,"February, 2018",1,105600,100400,5300,5,,,20180302,3201802,148,No,0
Lancaster County,71,4,42,4204000071,PA,2018,3,2,"February, 2018",1,279400,269200,10100,3.6,,,20180302,3201802,149,No,0
Lawrence County,73,4,42,4204000073,PA,2018,3,2,"February, 2018",1,40700,38300,2400,5.8,,,20180302,3201802,150,No,0
Lebanon County,75,4,42,4204000075,PA,2018,3,2,"February, 2018",1,70700,67800,2900,4.1,,,20180302,3201802,151,No,0
Lehigh County,77,4,42,4204000077,PA,2018,3,2,"February, 2018",1,190100,180700,9400,4.9,,,20180302,3201802,152,No,0
Luzerne County,79,4,42,4204000079,PA,2018,3,2,"February, 2018",1,158000,149000,8900,5.7,,,20180302,3201802,153,No,0
Lycoming County,81,4,42,4204000081,PA,2018,3,2,"February, 2018",1,57700,54600,3000,5.3,,,20180302,3201802,154,No,0
McKean County,83,4,42,4204000083,PA,2018,3,2,"February, 2018",1,17900,17000,1000,5.3,,,20180302,3201802,155,No,0
Mercer County,85,4,42,4204000085,PA,2018,3,2,"February, 2018",1,50300,47600,2700,5.3,,,20180302,3201802,156,No,0
Mifflin County,87,4,42,4204000087,PA,2018,3,2,"February, 2018",1,20700,19600,1000,5,,,20180302,3201802,157,No,0
Monroe County,89,4,42,4204000089,PA,2018,3,2,"February, 2018",1,81900,77200,4700,5.8,,,20180302,3201802,158,No,0
Montgomery County,91,4,42,4204000091,PA,2018,3,2,"February, 2018",1,447600,430900,16700,3.7,,,20180302,3201802,159,No,0
Montour County,93,4,42,4204000093,PA,2018,3,2,"February, 2018",1,9100,8700,400,4,,,20180302,3201802,160,No,0
Northampton County,95,4,42,4204000095,PA,2018,3,2,"February, 2018",1,159100,151500,7600,4.8,,,20180302,3201802,161,No,0
Northumberland County,97,4,42,4204000097,PA,2018,3,2,"February, 2018",1,42900,40500,2500,5.7,,,20180302,3201802,162,No,0
Perry County,99,4,42,4204000099,PA,2018,3,2,"February, 2018",1,24100,23100,1000,4.1,,,20180302,3201802,163,No,0
Philadelphia County,101,4,42,4204000101,PA,2018,3,2,"February, 2018",1,705900,662400,43500,6.2,,,20180302,3201802,164,No,0
Pike County,103,4,42,4204000103,PA,2018,3,2,"February, 2018",1,25000,23600,1500,5.8,,,20180302,3201802,165,No,0
Potter County,105,4,42,4204000105,PA,2018,3,2,"February, 2018",1,7200,6800,400,5.7,,,20180302,3201802,166,No,0
Schuylkill County,107,4,42,4204000107,PA,2018,3,2,"February, 2018",1,66100,62400,3700,5.6,,,20180302,3201802,167,No,0
Snyder County,109,4,42,4204000109,PA,2018,3,2,"February, 2018",1,20400,19500,900,4.2,,,20180302,3201802,168,No,0
Somerset County,111,4,42,4204000111,PA,2018,3,2,"February, 2018",1,33300,31500,1800,5.5,,,20180302,3201802,169,No,0
Sullivan County,113,4,42,4204000113,PA,2018,3,2,"February, 2018",1,2700,2500,100,5.6,,,20180302,3201802,170,No,0
Susquehanna County,115,4,42,4204000115,PA,2018,3,2,"February, 2018",1,20500,19600,900,4.2,,,20180302,3201802,171,No,0
Tioga County,117,4,42,4204000117,PA,2018,3,2,"February, 2018",1,18900,17800,1100,5.7,,,20180302,3201802,172,No,0
Union County,119,4,42,4204000119,PA,2018,3,2,"February, 2018",1,19400,18600,800,4.3,,,20180302,3201802,173,No,0
Venango County,121,4,42,4204000121,PA,2018,3,2,"February, 2018",1,22600,21300,1300,5.6,,,20180302,3201802,174,No,0
Warren County,123,4,42,4204000123,PA,2018,3,2,"February, 2018",1,19100,18100,1000,5,,,20180302,3201802,175,No,0
Washington County,125,4,42,4204000125,PA,2018,3,2,"February, 2018",1,106200,101100,5200,4.9,,,20180302,3201802,176,No,0
Wayne County,127,4,42,4204000127,PA,2018,3,2,"February, 2018",1,22400,21200,1100,5.1,,,20180302,3201802,177,No,0
Westmoreland County,129,4,42,4204000129,PA,2018,3,2,"February, 2018",1,180000,171200,8800,4.9,,,20180302,3201802,178,No,0
Wyoming County,131,4,42,4204000131,PA,2018,3,2,"February, 2018",1,13600,13000,600,4.7,,,20180302,3201802,179,No,0
York County,133,4,42,4204000133,PA,2018,3,2,"February, 2018",1,234000,224200,9800,4.2,,,20180302,3201802,180,No,0
Berks County WDA,1,15,42,4215000001,PA,2018,3,2,"February, 2018",1,211600,202400,9300,4.4,,,20180302,3201802,181,No,0
Bucks County WDA,2,15,42,4215000002,PA,2018,3,2,"February, 2018",1,338900,325000,14000,4.1,,,20180302,3201802,182,No,0
Central WDA,3,15,42,4215000003,PA,2018,3,2,"February, 2018",1,300700,286400,14300,4.8,,,20180302,3201802,183,No,0
Chester County WDA,4,15,42,4215000004,PA,2018,3,2,"February, 2018",1,281100,271300,9800,3.5,,,20180302,3201802,184,No,0
Delaware County WDA,5,15,42,4215000005,PA,2018,3,2,"February, 2018",1,295000,281800,13200,4.5,,,20180302,3201802,185,No,0
Lackawanna County WDA,6,15,42,4215000006,PA,2018,3,2,"February, 2018",1,105600,100400,5300,5,,,20180302,3201802,186,No,0
Lancaster County WDA,7,15,42,4215000007,PA,2018,3,2,"February, 2018",1,279400,269200,10100,3.6,,,20180302,3201802,187,No,0
Lehigh Valley WDA,8,15,42,4215000008,PA,2018,3,2,"February, 2018",1,349100,332100,17000,4.9,,,20180302,3201802,188,No,0
Luzerne-Schuylkill Counties WDA,9,15,42,4215000009,PA,2018,3,2,"February, 2018",1,224100,211400,12700,5.7,,,20180302,3201802,189,No,0
Montgomery County WDA,10,15,42,4215000010,PA,2018,3,2,"February, 2018",1,447600,430900,16700,3.7,,,20180302,3201802,190,No,0
North Central WDA,11,15,42,4215000011,PA,2018,3,2,"February, 2018",1,83300,78900,4400,5.3,,,20180302,3201802,191,No,0
Northern Tier WDA,12,15,42,4215000012,PA,2018,3,2,"February, 2018",1,84500,80400,4100,4.9,,,20180302,3201802,192,No,0
Northwest WDA,13,15,42,4215000013,PA,2018,3,2,"February, 2018",1,229400,217200,12200,5.3,,,20180302,3201802,193,No,0
Philadelphia County WDA,14,15,42,4215000014,PA,2018,3,2,"February, 2018",1,705900,662400,43500,6.2,,,20180302,3201802,194,No,0
Pocono Counties WDA,15,15,42,4215000015,PA,2018,3,2,"February, 2018",1,161000,151800,9200,5.7,,,20180302,3201802,195,No,0
South Central WDA,16,15,42,4215000016,PA,2018,3,2,"February, 2018",1,744500,714000,30500,4.1,,,20180302,3201802,196,No,0
Southern Alleghenies WDA,17,15,42,4215000017,PA,2018,3,2,"February, 2018",1,202400,192000,10400,5.1,,,20180302,3201802,197,No,0
Southwest Corner WDA,18,15,42,4215000018,PA,2018,3,2,"February, 2018",1,206700,196300,10400,5,,,20180302,3201802,198,No,0
Three Rivers WDA,19,15,42,4215000019,PA,2018,3,2,"February, 2018",1,643400,615000,28300,4.4,,,20180302,3201802,199,No,0
Tri-County WDA,20,15,42,4215000020,PA,2018,3,2,"February, 2018",1,170000,161700,8300,4.9,,,20180302,3201802,200,No,0
West Central WDA,21,15,42,4215000021,PA,2018,3,2,"February, 2018",1,91000,86000,5000,5.5,,,20180302,3201802,201,No,0
Westmoreland and Fayette Counties WDA,22,15,42,4215000022,PA,2018,3,2,"February, 2018",1,236900,224500,12400,5.2,,,20180302,3201802,202,No,0
"Allentown-Bethlehem-Easton, PA-NJ MSA",10900,31,42,4231010900,PA,2018,3,2,"February, 2018",1,435700,415100,20600,4.7,,,20180302,3201802,203,No,0
