County,AUN,LEA,School Code,School,Oct 1 Enrollment Grades 7-12,Male Dropouts,Female Dropouts,Dropouts,Dropout Rate
Allegheny,103026343,Moon Area SD,9999,Moon Area SD,14,1,0,1,7.14%
Allegheny,103026343,Moon Area SD,8254,Moon Area Upper MS,626,0,0,0,0.00%
Allegheny,103026343,Moon Area SD,4951,Moon SHS,"1,178",3,2,5,0.42%
Allegheny,103026402,Mt Lebanon SD,7535,Jefferson MS,437,0,0,0,0.00%
Allegheny,103026402,Mt Lebanon SD,7534,Mellon MS,445,0,0,0,0.00%
Allegheny,103026402,Mt Lebanon SD,9999,Mt Lebanon SD,10,0,0,0,0.00%
Allegheny,103026402,Mt Lebanon SD,0254,Mt Lebanon SHS,"1,792",0,0,0,0.00%
Allegheny,103026852,North Allegheny SD,5108,Carson MS,470,0,0,0,0.00%
Allegheny,103026852,North Allegheny SD,0270,Ingomar MS,340,0,0,0,0.00%
Allegheny,103026852,North Allegheny SD,7379,Marshall MS,547,0,0,0,0.00%
Allegheny,103026852,North Allegheny SD,8305,North Allegheny HS,"2,690",0,0,0,0.00%
Allegheny,103026852,North Allegheny SD,9999,North Allegheny SD,56,1,0,1,1.79%
Allegheny,103026902,North Hills SD,6106,North Hills MS,709,0,0,0,0.00%
Allegheny,103026902,North Hills SD,7101,North Hills SHS,"1,279",2,1,3,0.23%
Allegheny,103026873,Northgate SD,0053,Northgate MSHS,446,4,2,6,1.35%
Allegheny,103026873,Northgate SD,9999,Northgate SD,6,0,0,0,0.00%
Allegheny,102023217,Passport Academy CS,8308,Passport Academy CS,167,25,29,54,32.34%
Allegheny,103022481,Penn Hills CS of Entrepreneurship,8160,Penn Hills Charter School of Entrepreneu,94,0,0,0,0.00%
Allegheny,103027352,Penn Hills SD,5019,Linton MS,510,0,0,0,0.00%
Allegheny,103027352,Penn Hills SD,0309,Penn Hills SHS,"1,137",4,6,10,0.88%
Allegheny,115220003,Pennsylvania Distance Learning CS,7821,Pennsylvania Distance Learning CS,537,25,21,46,8.57%
Allegheny,103021003,Pine-Richland SD,0315,Pine-Richland HS,"1,463",2,1,3,0.21%
Allegheny,103021003,Pine-Richland SD,0314,Pine-Richland MS,718,0,0,0,0.00%
Allegheny,103021003,Pine-Richland SD,9999,Pine-Richland SD,17,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,8203,Academy at Westinghouse,640,8,6,14,2.19%
Allegheny,102027451,Pittsburgh SD,0409,Pittsburgh Allderdice HS,"1,468",13,6,19,1.29%
Allegheny,102027451,Pittsburgh SD,7616,Pittsburgh Allegheny 6-8,111,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7878,Pittsburgh Arlington K-8,83,1,1,2,2.41%
Allegheny,102027451,Pittsburgh SD,7886,Pittsburgh Arsenal 6-8,119,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,6915,Pittsburgh Brashear HS,"1,184",26,9,35,2.96%
Allegheny,102027451,Pittsburgh SD,7868,Pittsburgh Brookline K-8,93,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,8106,Pittsburgh CAPA 6-12,753,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,0326,Pittsburgh Carmalt K-8,82,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,0412,Pittsburgh Carrick HS,700,14,10,24,3.43%
Allegheny,102027451,Pittsburgh SD,7692,Pittsburgh Classical 6-8,180,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,6022,Pittsburgh Colfax K-8,152,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,6811,Pittsburgh Conroy,124,0,1,1,0.81%
Allegheny,102027451,Pittsburgh SD,6028,Pittsburgh Greenfield K-8,81,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7880,Pittsburgh King K-8,58,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,8255,Pittsburgh Langley K-8,111,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7871,Pittsburgh Manchester K-8,43,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7881,Pittsburgh Mifflin K-8,71,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,8110,Pittsburgh Milliones 6-12,291,5,1,6,2.06%
Allegheny,102027451,Pittsburgh SD,0365,Pittsburgh Morrow K-8,116,0,1,1,0.86%
Allegheny,102027451,Pittsburgh SD,8105,Pittsburgh Obama 6-12,726,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,6047,Pittsburgh Oliver,73,0,1,1,1.37%
Allegheny,102027451,Pittsburgh SD,8300,Pittsburgh Online Academy,98,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,0416,Pittsburgh Perry HS,361,6,6,12,3.32%
Allegheny,102027451,Pittsburgh SD,6664,Pittsburgh Pioneer,36,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,0379,Pittsburgh Schiller 6-8,140,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,8107,Pittsburgh Science and Technology Academ,535,1,0,1,0.19%
Allegheny,102027451,Pittsburgh SD,9999,Pittsburgh SD,313,0,1,1,0.32%
Allegheny,102027451,Pittsburgh SD,7693,Pittsburgh South Brook 6-8,233,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7888,Pittsburgh South Hills 6-8,275,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7039,Pittsburgh Sterrett 6-8,202,0,0,0,0.00%
Allegheny,102027451,Pittsburgh SD,7884,Pittsburgh Sunnyside K-8,61,0,0,0,0.00%
Allegheny,103027503,Plum Borough SD,8354,Holiday Park El Sch,2,0,0,0,0.00%
Allegheny,103027503,Plum Borough SD,5105,Oblock JHS,591,0,0,0,0.00%
Allegheny,103027503,Plum Borough SD,9999,Plum Borough SD,7,0,0,0,0.00%
Allegheny,103027503,Plum Borough SD,0435,Plum SHS,"1,162",4,1,5,0.43%
Allegheny,160028259,Propel CS-Braddock Hills,8129,Propel CS-Braddock Hills,437,5,1,6,1.37%
Allegheny,160028259,Propel CS-Braddock Hills,9999,Propel CS-Braddock Hills,1,0,0,0,0.00%
Allegheny,103020005,Propel CS-East,7848,Propel CS-East,81,0,0,0,0.00%
Allegheny,103024952,Propel CS-Hazelwood,9999,Propel CS-Hazelwood,1,0,0,0,0.00%
Allegheny,103024952,Propel CS-Hazelwood,8306,Propel CS-Hazelwood,56,0,0,0,0.00%
Allegheny,103020002,Propel CS-Homestead,7772,Propel CS-Homestead,252,3,0,3,1.19%
Allegheny,103020003,Propel CS-McKeesport,7831,Propel CS-McKeesport,85,0,0,0,0.00%
Allegheny,103020004,Propel CS-Montour,7832,Propel CS-Montour,282,1,0,1,0.35%
Allegheny,103020004,Propel CS-Montour,9999,Propel CS-Montour,2,0,0,0,0.00%
Allegheny,103028192,Propel CS-Northside,8193,Propel CS-Northside,74,0,1,1,1.35%
Allegheny,103024162,Propel CS-Pitcairn,8218,Propel CS-Pitcairn,76,0,0,0,0.00%
Allegheny,102027560,Provident CS,8362,Provident CS,44,0,0,0,0.00%
Allegheny,103027753,Quaker Valley SD,0448,Quaker Valley HS,629,0,0,0,0.00%
Allegheny,103027753,Quaker Valley SD,0447,Quaker Valley MS,309,0,0,0,0.00%
Allegheny,103027753,Quaker Valley SD,9999,Quaker Valley SD,4,0,0,0,0.00%
Allegheny,103028203,Riverview SD,6928,Riverview JSHS,428,0,2,2,0.47%
Allegheny,103028203,Riverview SD,9999,Riverview SD,6,0,0,0,0.00%
Allegheny,103028302,Shaler Area SD,0460,Shaler Area HS,"1,296",3,4,7,0.54%
Allegheny,103028302,Shaler Area SD,8002,Shaler Area MS,597,0,0,0,0.00%
Allegheny,103028302,Shaler Area SD,9999,Shaler Area SD,11,1,0,1,9.09%
Allegheny,103028653,South Allegheny SD,8459,South Allegheny HS,492,4,6,10,2.03%
Allegheny,103028653,South Allegheny SD,8460,South Allegheny MS,259,1,1,2,0.77%
Allegheny,103028653,South Allegheny SD,9999,South Allegheny SD,6,1,0,1,16.67%
Allegheny,103028703,South Fayette Township SD,7490,South Fayette MS,595,0,0,0,0.00%
Allegheny,103028703,South Fayette Township SD,9999,South Fayette Township SD,6,0,0,0,0.00%
Allegheny,103028703,South Fayette Township SD,0470,South Fayette Twp HS,"1,011",0,0,0,0.00%
Allegheny,103028753,South Park SD,6906,South Park MS,269,0,0,0,0.00%
Allegheny,103028753,South Park SD,9999,South Park SD,4,0,0,0,0.00%
Allegheny,103028753,South Park SD,0467,South Park SHS,584,2,2,4,0.68%
Allegheny,103023410,Spectrum CS,7648,Spectrum CS,32,0,0,0,0.00%
Allegheny,103028833,Steel Valley SD,0260,Steel Valley MS,191,0,0,0,0.00%
Allegheny,103028833,Steel Valley SD,0196,Steel Valley SHS,437,0,0,0,0.00%
Allegheny,103028853,Sto-Rox SD,0477,Sto-Rox JSHS,520,4,6,10,1.92%
Allegheny,103028853,Sto-Rox SD,9999,Sto-Rox SD,9,0,1,1,11.11%
Allegheny,102020003,The New Academy CS,7846,The New Academy CS,142,10,0,10,7.04%
Allegheny,103029203,Upper Saint Clair SD,0491,Fort Couch MS,658,0,0,0,0.00%
Allegheny,103029203,Upper Saint Clair SD,0492,Upper Saint Clair HS,"1,392",0,0,0,0.00%
Allegheny,103029203,Upper Saint Clair SD,9999,Upper Saint Clair SD,5,0,0,0,0.00%
Allegheny,102023080,Urban Pathways 6-12 CS,9999,Urban Pathways 6-12 CS,2,0,0,0,0.00%
Allegheny,102023080,Urban Pathways 6-12 CS,7562,Urban Pathways 6-12 CS,275,1,1,2,0.73%
Allegheny,103029403,West Allegheny SD,6895,West Allegheny MS,486,0,0,0,0.00%
Allegheny,103029403,West Allegheny SD,0509,West Allegheny SHS,"1,014",1,0,1,0.10%
Allegheny,103029553,West Jefferson Hills SD,4867,Pleasant Hills MS,463,0,0,0,0.00%
Allegheny,103029553,West Jefferson Hills SD,0523,Thomas Jefferson HS,917,1,1,2,0.22%
Allegheny,103029553,West Jefferson Hills SD,9999,West Jefferson Hills SD,11,0,0,0,0.00%
Allegheny,103029603,West Mifflin Area SD,0536,West Mifflin Area HS,956,11,4,15,1.57%
Allegheny,103029603,West Mifflin Area SD,0535,West Mifflin Area MS,487,0,0,0,0.00%
Allegheny,103029603,West Mifflin Area SD,9999,West Mifflin Area SD,9,0,0,0,0.00%
Allegheny,103028425,Westinghouse Arts Academy CS,8392,Westinghouse Arts Academy CS,216,2,0,2,0.93%
Allegheny,103029902,Woodland Hills SD,0107,Woodland Hills HS,"1,003",19,12,31,3.09%
Allegheny,103029902,Woodland Hills SD,8466,Woodland Hills Intermediate Sch,490,1,4,5,1.02%
Allegheny,103029902,Woodland Hills SD,9999,Woodland Hills SD,4,0,0,0,0.00%
Allegheny,103020368,Young Scholars of Greater Allegheny CS,8337,Young Scholars of McKeesport Charter Sch,23,0,0,0,0.00%
Allegheny,103025206,Young Scholars of Western Pennsylvania C,8156,Young Scholars of Western Pennsylvania C,58,0,0,0,0.00%
Armstrong,128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,317,2,2,4,1.26%
Armstrong,128030603,Apollo-Ridge SD,6570,Apollo-Ridge MS,197,0,0,0,0.00%
Armstrong,128030603,Apollo-Ridge SD,9999,Apollo-Ridge SD,20,1,1,2,10.00%
Armstrong,128030852,Armstrong SD,8342,Armstrong JSHS,"1,618",8,5,13,0.80%
Armstrong,128030852,Armstrong SD,9999,Armstrong SD,19,0,0,0,0.00%
Armstrong,128030852,Armstrong SD,7640,West Shamokin JSHS,609,2,3,5,0.82%
Armstrong,128033053,Freeport Area SD,8346,Freeport Area MS,291,0,0,0,0.00%
Armstrong,128033053,Freeport Area SD,9999,Freeport Area SD,4,1,0,1,25.00%
Armstrong,128033053,Freeport Area SD,0594,Freeport Area SHS,582,1,0,1,0.17%
Armstrong,128034503,Leechburg Area SD,7923,Leechburg Area HS,213,0,0,0,0.00%
Armstrong,128034503,Leechburg Area SD,8393,Leechburg Area MS,102,0,0,0,0.00%
Armstrong,128034503,Leechburg Area SD,9999,Leechburg Area SD,14,1,0,1,7.14%
Armstrong,128034607,Lenape Tech,4807,Lenape Tech,531,0,1,1,0.19%
Beaver,127040503,Aliquippa SD,8086,Aliquippa JSHS,405,1,1,2,0.49%
Beaver,127040703,Ambridge Area SD,6555,Ambridge Area HS,749,4,4,8,1.07%
Beaver,127040703,Ambridge Area SD,0633,Ambridge Area MS,370,0,0,0,0.00%
Beaver,127040703,Ambridge Area SD,9999,Ambridge Area SD,25,4,0,4,16.00%
Beaver,127041203,Beaver Area SD,7386,Beaver Area MS,302,0,0,0,0.00%
Beaver,127041203,Beaver Area SD,0640,Beaver Area SHS,694,1,0,1,0.14%
Beaver,127041503,Big Beaver Falls Area SD,0649,Beaver Falls Area SHS,458,6,8,14,3.06%
Beaver,127041503,Big Beaver Falls Area SD,0648,Beaver Falls MS,241,0,0,0,0.00%
Beaver,127041503,Big Beaver Falls Area SD,9999,Big Beaver Falls Area SD,12,1,0,1,8.33%
Beaver,127041603,Blackhawk SD,6707,Blackhawk HS,733,4,1,5,0.68%
Beaver,127041603,Blackhawk SD,9999,Blackhawk SD,6,0,0,0,0.00%
Beaver,127041603,Blackhawk SD,6558,Highland MS,385,0,0,0,0.00%
Beaver,127042003,Central Valley SD,8044,Central Valley HS,718,2,4,6,0.84%
Beaver,127042003,Central Valley SD,8043,Central Valley MS,371,1,0,1,0.27%
Beaver,127042853,Freedom Area SD,8356,Freedom Area MS,190,0,0,0,0.00%
Beaver,127042853,Freedom Area SD,9999,Freedom Area SD,6,0,0,0,0.00%
Beaver,127042853,Freedom Area SD,6563,Freedom Area SHS,426,2,1,3,0.70%
Beaver,127044103,Hopewell Area SD,9999,Hopewell Area SD,16,0,0,0,0.00%
Beaver,127044103,Hopewell Area SD,0674,Hopewell JHS,332,0,1,1,0.30%
Beaver,127044103,Hopewell Area SD,0675,Hopewell SHS,597,3,1,4,0.67%
Beaver,127040002,Lincoln Park Performing Arts CS,7859,Lincoln Park Performing Arts CS,790,0,0,0,0.00%
Beaver,127045303,Midland Borough SD,9999,Midland Borough SD,1,0,0,0,0.00%
Beaver,127045303,Midland Borough SD,6566,Midland El/MS,44,0,0,0,0.00%
Beaver,127045653,New Brighton Area SD,0695,New Brighton Area HS,419,3,3,6,1.43%
Beaver,127045653,New Brighton Area SD,0694,New Brighton Area MS,194,0,0,0,0.00%
Beaver,127045653,New Brighton Area SD,9999,New Brighton Area SD,8,0,0,0,0.00%
Beaver,127043430,Pennsylvania Cyber CS,9999,Pennsylvania Cyber CS,13,0,0,0,0.00%
Beaver,127043430,Pennsylvania Cyber CS,7650,Pennsylvania Cyber CS,"7,084",278,310,588,8.30%
Beaver,127045853,Riverside Beaver County SD,0700,Riverside HS,444,5,0,5,1.13%
Beaver,127045853,Riverside Beaver County SD,8188,Riverside MS,226,0,0,0,0.00%
Beaver,127046903,Rochester Area SD,9999,Rochester Area SD,10,0,0,0,0.00%
Beaver,127046903,Rochester Area SD,8000,Rochester High School,182,2,1,3,1.65%
Beaver,127046903,Rochester Area SD,8279,Rochester MS,119,1,0,1,0.84%
Beaver,127047404,South Side Area SD,0714,South Side HS,328,0,0,0,0.00%
Beaver,127047404,South Side Area SD,6937,South Side MS,155,0,0,0,0.00%
Beaver,127049303,Western Beaver County SD,0719,Western Beaver Co JSHS,310,0,2,2,0.65%
Beaver,127049303,Western Beaver County SD,9999,Western Beaver County SD,2,0,0,0,0.00%
Bedford,108051003,Bedford Area SD,7021,Bedford MS,294,1,1,2,0.68%
Bedford,108051003,Bedford Area SD,0726,Bedford SHS,599,3,6,9,1.50%
Bedford,108051503,Chestnut Ridge SD,0729,Chestnut Ridge MS,106,0,0,0,0.00%
Bedford,108051503,Chestnut Ridge SD,9999,Chestnut Ridge SD,2,0,0,0,0.00%
Bedford,108051503,Chestnut Ridge SD,0732,Chestnut Ridge SHS,536,1,0,1,0.19%
Bedford,108053003,Everett Area SD,7897,Everett Area HS,396,4,2,6,1.52%
Bedford,108053003,Everett Area SD,7898,Everett Area MS,176,0,0,0,0.00%
Bedford,108057079,HOPE for Hyndman CS,8154,HOPE for Hyndman CS,86,0,0,0,0.00%
Bedford,108056004,Northern Bedford County SD,8436,Northern Bedford County HS,279,0,1,1,0.36%
Bedford,108056004,Northern Bedford County SD,8435,Northern Bedford County MS,139,0,0,0,0.00%
Bedford,108058003,Tussey Mountain SD,0753,Tussey Mountain HS,258,2,0,2,0.78%
Bedford,108058003,Tussey Mountain SD,8411,Tussey Mountain MS,153,0,0,0,0.00%
Berks,114060503,Antietam SD,0820,Antietam MS/HS,487,2,9,11,2.26%
Berks,114060503,Antietam SD,9999,Antietam SD,16,0,1,1,6.25%
Berks,114060753,Boyertown Area SD,6804,Boyertown Area MS-East,611,0,0,0,0.00%
Berks,114060753,Boyertown Area SD,6305,Boyertown Area MS-West,520,0,0,0,0.00%
Berks,114060753,Boyertown Area SD,6306,Boyertown Area SHS,"2,152",7,3,10,0.46%
Berks,114060853,Brandywine Heights Area SD,9999,Brandywine Heights Area SD,6,0,0,0,0.00%
Berks,114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,482,3,3,6,1.24%
Berks,114060853,Brandywine Heights Area SD,8383,Brandywine Heights Intrmd/MS,232,0,0,0,0.00%
Berks,114061103,Conrad Weiser Area SD,9999,Conrad Weiser Area SD,55,0,2,2,3.64%
Berks,114061103,Conrad Weiser Area SD,0777,Conrad Weiser HS,848,3,3,6,0.71%
Berks,114061103,Conrad Weiser Area SD,7651,Conrad Weiser MS,429,0,0,0,0.00%
Berks,114061503,Daniel Boone Area SD,4810,Daniel Boone Area HS,"1,098",9,4,13,1.18%
Berks,114061503,Daniel Boone Area SD,7544,Daniel Boone Area MS,538,0,0,0,0.00%
Berks,114061503,Daniel Boone Area SD,9999,Daniel Boone Area SD,21,1,0,1,4.76%
Berks,114062003,Exeter Township SD,9999,Exeter Township SD,7,0,0,0,0.00%
Berks,114062003,Exeter Township SD,0787,Exeter Twp JHS,581,0,0,0,0.00%
Berks,114062003,Exeter Township SD,0788,Exeter Twp SHS,"1,303",6,4,10,0.77%
Berks,114062503,Fleetwood Area SD,9999,Fleetwood Area SD,8,0,0,0,0.00%
Berks,114062503,Fleetwood Area SD,6311,Fleetwood MS,395,0,0,0,0.00%
Berks,114062503,Fleetwood Area SD,5023,Fleetwood SHS,847,0,1,1,0.12%
Berks,114063003,Governor Mifflin SD,0801,Governor Mifflin MS,723,0,0,0,0.00%
Berks,114063003,Governor Mifflin SD,0802,Governor Mifflin SHS,"1,447",12,2,14,0.97%
Berks,114063503,Hamburg Area SD,0808,Hamburg Area HS,682,5,2,7,1.03%
Berks,114063503,Hamburg Area SD,7447,Hamburg Area Middle School,354,0,0,0,0.00%
Berks,114063503,Hamburg Area SD,9999,Hamburg Area SD,16,0,0,0,0.00%
Berks,114063503,Hamburg Area SD,0809,Perry El Sch,2,0,0,0,0.00%
Berks,114060392,I-LEAD Charter School,8155,I-LEAD Charter School,408,26,34,60,14.71%
Berks,114064003,Kutztown Area SD,6315,Kutztown Area MS,221,0,0,0,0.00%
Berks,114064003,Kutztown Area SD,9999,Kutztown Area SD,3,0,0,0,0.00%
Berks,114064003,Kutztown Area SD,0816,Kutztown Area SHS,444,7,3,10,2.25%
Berks,114065503,Muhlenberg SD,6610,Muhlenberg HS,988,7,1,8,0.81%
Berks,114065503,Muhlenberg SD,0827,Muhlenberg MS,"1,010",0,1,1,0.10%
Berks,114065503,Muhlenberg SD,9999,Muhlenberg SD,11,0,0,0,0.00%
Berks,114066503,Oley Valley SD,6319,Oley Valley MS,244,0,0,0,0.00%
Berks,114066503,Oley Valley SD,9999,Oley Valley SD,16,0,1,1,6.25%
Berks,114066503,Oley Valley SD,6318,Oley Valley SHS,553,0,0,0,0.00%
Berks,114067002,Reading SD,8117,Central MS,966,6,10,16,1.66%
Berks,114067002,Reading SD,0858,Northeast MS,553,1,1,2,0.36%
Berks,114067002,Reading SD,0856,Northwest MS,438,1,0,1,0.23%
Berks,114067002,Reading SD,9999,Reading SD,98,3,0,3,3.06%
Berks,114067002,Reading SD,8116,Reading SHS,"4,724",158,118,276,5.84%
Berks,114067002,Reading SD,0855,Southern MS,340,2,2,4,1.18%
Berks,114067002,Reading SD,8457,Southwest MS,347,3,5,8,2.31%
Berks,114067503,Schuylkill Valley SD,0864,Schuylkill Valley HS,625,3,1,4,0.64%
Berks,114067503,Schuylkill Valley SD,6888,Schuylkill Valley MS,333,0,0,0,0.00%
Berks,114067503,Schuylkill Valley SD,9999,Schuylkill Valley SD,12,0,0,0,0.00%
Berks,114068003,Tulpehocken Area SD,9999,Tulpehocken Area SD,6,0,0,0,0.00%
Berks,114068003,Tulpehocken Area SD,4670,Tulpehocken JSHS,683,6,1,7,1.02%
Berks,114068103,Twin Valley SD,0873,Twin Valley HS,"1,036",7,2,9,0.87%
Berks,114068103,Twin Valley SD,7328,Twin Valley MS,513,0,0,0,0.00%
Berks,114068103,Twin Valley SD,9999,Twin Valley SD,7,0,1,1,14.29%
Berks,114069103,Wilson SD,6980,Wilson HS,"1,983",4,3,7,0.35%
Berks,114069103,Wilson SD,9999,Wilson SD,2,0,0,0,0.00%
Berks,114069103,Wilson SD,6982,Wilson Southern MS,511,0,0,0,0.00%
Berks,114069103,Wilson SD,6981,Wilson West MS,491,2,0,2,0.41%
Berks,114069353,Wyomissing Area SD,0887,Wyomissing Area JSHS,904,3,3,6,0.66%
Berks,114069353,Wyomissing Area SD,9999,Wyomissing Area SD,13,0,0,0,0.00%
Blair,108070502,Altoona Area SD,0913,Altoona Area HS,"1,663",39,20,59,3.55%
Blair,108070502,Altoona Area SD,7986,Altoona Area Jr HS,"1,697",0,0,0,0.00%
Blair,108070502,Altoona Area SD,9999,Altoona Area SD,1,0,0,0,0.00%
Blair,108070502,Altoona Area SD,7425,Kimmel Alternative School,24,3,1,4,16.67%
Blair,108071003,Bellwood-Antis SD,7144,Bellwood Antis MS,213,0,0,0,0.00%
Blair,108071003,Bellwood-Antis SD,0917,Bellwood-Antis HS,388,1,1,2,0.52%
Blair,108071003,Bellwood-Antis SD,9999,Bellwood-Antis SD,1,0,0,0,0.00%
Blair,108070001,Central PA Digital Learning Foundation C,7720,Central PA Digital Lrng Foundation CS,112,4,0,4,3.57%
Blair,108071504,Claysburg-Kimmel SD,0921,Claysburg-Kimmel HS,401,0,0,0,0.00%
Blair,108073503,Hollidaysburg Area SD,0927,Hollidaysburg Area JHS,808,0,0,0,0.00%
Blair,108073503,Hollidaysburg Area SD,9999,Hollidaysburg Area SD,8,1,0,1,12.50%
Blair,108073503,Hollidaysburg Area SD,5207,Hollidaysburg Area SHS,838,4,7,11,1.31%
Blair,108077503,Spring Cove SD,0941,Central HS,569,2,1,3,0.53%
Blair,108077503,Spring Cove SD,5130,Spring Cove MS,287,0,0,0,0.00%
Blair,108077503,Spring Cove SD,9999,Spring Cove SD,6,0,0,0,0.00%
Blair,108078003,Tyrone Area SD,0949,Tyrone Area HS,561,2,1,3,0.53%
Blair,108078003,Tyrone Area SD,7518,Tyrone Area MS,278,1,1,2,0.72%
Blair,108079004,Williamsburg Community SD,0950,Williamsburg Community El Sch,2,0,0,0,0.00%
Blair,108079004,Williamsburg Community SD,0951,Williamsburg Community JSHS,232,1,0,1,0.43%
Bradford,117080503,Athens Area SD,0958,Athens Area HS,647,2,2,4,0.62%
Bradford,117080503,Athens Area SD,8220,Harlan Rowe MS,357,0,0,0,0.00%
Bradford,117081003,Canton Area SD,0988,Canton JSHS,439,2,0,2,0.46%
Bradford,117083004,Northeast Bradford SD,0964,Northeast Bradford JSHS,366,2,1,3,0.82%
Bradford,117086003,Sayre Area SD,0965,Sayre Area HS,480,0,2,2,0.42%
Bradford,117086503,Towanda Area SD,5208,Towanda Area JSHS,651,5,2,7,1.08%
Bradford,117086653,Troy Area SD,1000,Troy Area JSHS,650,4,3,7,1.08%
Bradford,117089003,Wyalusing Area SD,9999,Wyalusing Area SD,1,0,0,0,0.00%
Bradford,117089003,Wyalusing Area SD,1005,Wyalusing Valley JSHS,618,2,3,5,0.81%
Bucks,122091002,Bensalem Township SD,9999,Bensalem Township SD,32,2,1,3,9.38%
Bucks,122091002,Bensalem Township SD,5116,Bensalem Twp HS,"2,001",26,18,44,2.20%
Bucks,122091002,Bensalem Township SD,6451,Cecelia Snyder MS,447,1,0,1,0.22%
Bucks,122091002,Bensalem Township SD,7030,Robert K Shafer MS,585,1,0,1,0.17%
Bucks,122091303,Bristol Borough SD,9999,Bristol Borough SD,3,0,0,0,0.00%
Bucks,122091303,Bristol Borough SD,1014,Bristol HS,291,1,0,1,0.34%
Bucks,122091303,Bristol Borough SD,7743,Bristol MS,225,0,0,0,0.00%
Bucks,122091352,Bristol Township SD,9999,Bristol Township SD,37,2,1,3,8.11%
Bucks,122091352,Bristol Township SD,8407,Neil A Armstrong MS,574,0,0,0,0.00%
Bucks,122091352,Bristol Township SD,1027,Roosevelt MS,511,0,0,0,0.00%
Bucks,122091352,Bristol Township SD,1029,Truman SHS,"1,582",16,10,26,1.64%
Bucks,122091457,Bucks County Technical High School,1030,Bucks County Technical High School,"1,459",1,0,1,0.07%
Bucks,122092002,Centennial SD,9999,Centennial SD,10,0,0,0,0.00%
Bucks,122092002,Centennial SD,7271,Klinger MS,470,0,0,0,0.00%
Bucks,122092002,Centennial SD,7274,Log College MS,432,1,0,1,0.23%
Bucks,122092002,Centennial SD,1040,William Tennent HS,"1,770",5,5,10,0.56%
Bucks,122090001,Center for Student Learning CS at Pennsb,7726,Center for Student Lrng CS Pennsbury,157,1,3,4,2.55%
Bucks,122092102,Central Bucks SD,5133,Central Bucks HS-East,"1,517",1,0,1,0.07%
Bucks,122092102,Central Bucks SD,7790,Central Bucks HS-South,"1,724",4,2,6,0.35%
Bucks,122092102,Central Bucks SD,1043,Central Bucks HS-West,"1,503",6,2,8,0.53%
Bucks,122092102,Central Bucks SD,9999,Central Bucks SD,75,0,0,0,0.00%
Bucks,122092102,Central Bucks SD,5307,Holicong MS,994,0,0,0,0.00%
Bucks,122092102,Central Bucks SD,1041,Lenape MS,897,0,0,0,0.00%
Bucks,122092102,Central Bucks SD,1042,Tamanend MS,852,0,0,0,0.00%
Bucks,122092102,Central Bucks SD,7715,Tohickon MS,909,0,0,0,0.00%
Bucks,122092102,Central Bucks SD,4678,Unami MS,875,0,0,0,0.00%
Bucks,122092353,Council Rock SD,5096,Council Rock HS North,"1,605",3,0,3,0.19%
Bucks,122092353,Council Rock SD,7749,Council Rock HS South,"2,021",3,0,3,0.15%
Bucks,122092353,Council Rock SD,9999,Council Rock SD,7,0,1,1,14.29%
Bucks,122092353,Council Rock SD,8447,Holland MS,950,0,0,0,0.00%
Bucks,122092353,Council Rock SD,6453,Newtown MS,814,0,0,0,0.00%
Bucks,122097203,Morrisville Borough SD,8381,Morrisville HS,371,1,1,2,0.54%
Bucks,122097502,Neshaminy SD,7380,Maple Point MS,679,0,0,0,0.00%
Bucks,122097502,Neshaminy SD,6455,Neshaminy HS,"2,611",18,6,24,0.92%
Bucks,122097502,Neshaminy SD,9999,Neshaminy SD,46,1,1,2,4.35%
Bucks,122097502,Neshaminy SD,1077,Poquessing MS,451,0,0,0,0.00%
Bucks,122097502,Neshaminy SD,1076,Sandburg MS,400,0,0,0,0.00%
Bucks,122097604,New Hope-Solebury SD,1084,New Hope-Solebury HS,487,1,0,1,0.21%
Bucks,122097604,New Hope-Solebury SD,7561,New Hope-Solebury MS,226,0,0,0,0.00%
Bucks,122097604,New Hope-Solebury SD,9999,New Hope-Solebury SD,1,0,0,0,0.00%
Bucks,122098003,Palisades SD,1094,Palisades HS,551,4,2,6,1.09%
